Iteration, Entropy
1, 0.028877
2, 0.024979
3, 0.023324
4, 0.022167
5, 0.021396
6, 0.020770
7, 0.020033
8, 0.019599
9, 0.018735
10, 0.018375
11, 0.017761
12, 0.017562
13, 0.017416
14, 0.017499
15, 0.017327
16, 0.017333
17, 0.017191
18, 0.017146
19, 0.016887
20, 0.016796 
