Iteration, Entropy
1, 0.416080
2,0.403801
3, 0.393788
4, 0.384148
5, 0.379955
6, 0.374722
7, 0.370704
8, 0.366110
9, 0.363956
10, 0.363712
11, 0.360599
12, 0.359308
13, 0.358712
14, 0.359453
15, 0.358421
16, 0.356750
17, 0.354491
18, 0.353710
19, 0.352490
20, 0.350700 
