Iteration, Entropy
1, 0.062255
2, 0.062107
3, 0.061995
4, 0.061836
5, 0.061708
6, 0.061526
7, 0.060085
8, 0.058960
9, 0.057723
10, 0.056426
11, 0.055067
12, 0.053820
13, 0.052123
14, 0.049991
15, 0.042035
16, 0.033866
17, 0.029454
18, 0.026289
19, 0.024111
20, 0.022408 
