Iteration, Entropy
1, 0.093583
2, 0.084049
3, 0.076050
4, 0.067965
5, 0.061740
6, 0.056782
7, 0.052414
8, 0.049218
9, 0.046558
10, 0.044184
11, 0.042118
12, 0.040171
13, 0.038293
14, 0.036569
15, 0.034860
16, 0.033347
17, 0.031953
18, 0.030595
19, 0.029245
20, 0.027946 
