Iteration, Entropy
1, 0.024644
2, 0.023619
3, 0.021987
4, 0.018499
5, 0.019099
6, 0.016766
7, 0.015052
8, 0.013173
9, 0.012420
10, 0.011391
11, 0.010979
12, 0.010571
13, 0.009983
14, 0.009071
15, 0.007758
16, 0.007077
17, 0.006823
18, 0.006457
19, 0.006377
20, 0.006101 
