Iteration, Pre optimisation, 	Partial optimisation,	Full optimisation
1,	52.917589,	31.145741,	20.911965
2,	51.763401,	30.385664,	20.489747
3,	48.342389,	28.309587,	19.010859
4,	56.060477,	32.501691,	22.142214
5,	56.68733,	33.089669,	22.633478
