Iteration, Entropy
1, 0.024955
2, 0.018532
3, 0.016395
4, 0.015026
5, 0.014457
6, 0.013762
7, 0.013240
8, 0.012838
9, 0.012955
10, 0.012781
11, 0.011755
12, 0.011833
13, 0.011723
14, 0.011706
15, 0.012213
16, 0.011696
17, 0.012007
18, 0.011538
19, 0.011209
20, 0.010888 
