Iteration, Entropy
1, 0.231113
2, 0.225648
3, 0.221902
4, 0.218164
5, 0.216845
6, 0.215778
7, 0.215096
8, 0.215606
9, 0.214506
10, 0.213850
11, 0.214690
12, 0.214167
13, 0.212779
14, 0.212419
15, 0.212023
16, 0.210181
17, 0.211036
18, 0.210636
19, 0.209981
20, 0.210216 
