Iteration, Entropy
1, 0.089658
2, 0.080077
3, 0.073158
4, 0.067161
5, 0.061344
6, 0.057023
7, 0.053494
8, 0.050325
9, 0.047243
10, 0.044346
11, 0.040404
12, 0.038025
13, 0.035813
14, 0.033728
15, 0.031005
16, 0.028583
17, 0.026092
18, 0.024386
19, 0.023165
20, 0.021976 
