Iteration, Entropy
1, 0.363914
2, 0.353462
3, 0.347279
4, 0.340452
5, 0.337625
6, 0.333940
7, 0.331973
8, 0.330349
9, 0.325900
10, 0.324482
11, 0.321993
12, 0.321014
13, 0.320316
14, 0.319137
15, 0.318285
16, 0.316206
17, 0.315913
18, 0.315580
19, 0.314940
20, 0.315340 
