Sample Number, Starting entropy, Final entropy, Entropy change
1, 0.416080, 0.350700, 0.06538
2, 0.574292, 0.534195, 0.040097
3, 0.363914, 0.315340, 0.048574
4, 0.231113, 0.210216, 0.020897
